"nwspol","gender","age","married","urban","native","edulevel","polintr","poldeltag","paidwork"
120,1,68,1,0,1,"Kort/Mellemlang videregående",2,4,1
150,1,77,1,1,1,"Kort/Mellemlang videregående",2,4,0
75,0,19,0,1,1,"Erhvervsuddannelse",2,3,0
15,0,23,0,0,1,"Erhvervsuddannelse",3,1,0
60,0,81,1,1,1,"Erhvervsuddannelse",2,3,0
60,1,51,1,0,1,"Kort/Mellemlang videregående",2,3,1
30,0,19,0,0,1,"Erhvervsuddannelse",3,1,0
30,1,40,1,1,1,"Lang videregående",2,5,1
90,1,49,0,0,1,"Erhvervsuddannelse",2,4,0
90,1,44,0,1,1,"Kort/Mellemlang videregående",3,4,1
2,1,60,0,0,1,"Erhvervsuddannelse",3,1,1
0,0,35,1,1,1,"Kort/Mellemlang videregående",2,2,1
60,1,53,1,1,1,"Kort/Mellemlang videregående",4,3,1
60,1,59,1,1,1,"Kort/Mellemlang videregående",2,4,1
180,1,57,0,0,1,"Kort/Mellemlang videregående",1,3,1
120,0,90,0,0,1,"Erhvervsuddannelse",4,1,0
10,1,25,0,1,1,"Erhvervsuddannelse",3,2,1
20,1,33,1,1,1,"Lang videregående",2,2,1
30,0,30,0,0,1,"Lang videregående",3,2,1
180,0,80,0,0,1,"Grundskole",2,3,0
150,0,51,1,0,1,"Lang videregående",2,4,1
20,0,20,0,1,1,"Erhvervsuddannelse",2,3,0
45,1,75,0,0,1,"Kort/Mellemlang videregående",3,3,0
60,1,56,1,0,1,"Erhvervsuddannelse",2,2,1
60,1,59,0,0,1,"Kort/Mellemlang videregående",2,2,1
120,1,41,0,0,0,"Erhvervsuddannelse",3,2,1
5,0,15,0,0,1,"Grundskole",3,2,0
60,0,81,0,1,1,"Kort/Mellemlang videregående",2,2,0
30,1,37,1,1,0,"Lang videregående",2,2,1
120,1,69,1,1,1,"Erhvervsuddannelse",2,3,0
120,1,37,0,0,1,"Kort/Mellemlang videregående",2,3,1
5,0,29,1,0,1,"Kort/Mellemlang videregående",3,2,0
120,1,49,1,0,1,"Erhvervsuddannelse",2,2,1
30,0,33,1,0,1,"Erhvervsuddannelse",3,3,1
30,1,21,0,1,1,"Erhvervsuddannelse",4,1,0
60,0,32,0,1,1,"Lang videregående",2,3,0
60,1,90,1,0,1,"Erhvervsuddannelse",2,1,0
40,0,19,0,0,1,"Erhvervsuddannelse",2,4,0
60,1,20,0,1,1,"Gymnasium",2,2,0
15,1,42,1,1,1,"Kort/Mellemlang videregående",3,1,1
45,0,30,1,1,1,"Lang videregående",2,2,1
30,1,62,1,1,1,"Erhvervsuddannelse",2,3,1
60,0,59,1,0,1,"Kort/Mellemlang videregående",3,2,1
15,0,25,0,1,1,"Lang videregående",2,2,1
30,1,51,1,0,1,"Lang videregående",3,2,1
30,1,52,0,0,1,"Erhvervsuddannelse",2,3,1
90,1,86,1,0,1,"Lang videregående",1,2,0
120,1,75,1,1,1,"Lang videregående",2,3,0
120,1,79,0,0,1,"Erhvervsuddannelse",2,2,0
60,0,75,0,0,1,"Erhvervsuddannelse",2,2,0
90,0,67,0,0,1,"Erhvervsuddannelse",2,2,0
90,0,69,0,1,1,"Grundskole",2,3,0
120,1,58,0,1,1,"Erhvervsuddannelse",1,4,1
60,0,51,1,0,1,"Kort/Mellemlang videregående",3,1,1
15,0,34,0,1,1,"Lang videregående",3,3,1
75,0,62,1,0,1,"Kort/Mellemlang videregående",2,2,0
120,1,41,1,1,1,"Lang videregående",2,4,1
120,1,56,0,0,1,"Gymnasium",2,3,0
120,1,70,1,0,1,"Grundskole",1,2,0
60,1,56,0,0,1,"Kort/Mellemlang videregående",2,1,0
90,0,37,1,1,1,"Lang videregående",2,2,1
150,0,73,1,1,1,"Kort/Mellemlang videregående",2,2,0
60,0,53,1,0,1,"Erhvervsuddannelse",2,2,0
120,0,80,1,0,1,"Gymnasium",2,2,0
90,1,54,1,0,1,"Lang videregående",2,3,1
120,1,52,1,1,1,"Erhvervsuddannelse",2,2,1
15,1,21,0,1,1,"Erhvervsuddannelse",2,2,1
15,0,28,1,1,1,"Erhvervsuddannelse",3,3,0
20,0,39,1,1,1,"Lang videregående",3,3,1
0,0,67,0,0,1,"Grundskole",4,1,0
60,0,66,0,1,1,"Lang videregående",3,1,1
60,0,73,0,0,1,"Erhvervsuddannelse",2,2,0
30,1,30,0,1,1,"Lang videregående",1,3,1
60,1,56,0,1,1,"Erhvervsuddannelse",2,1,0
60,0,58,0,1,1,"Lang videregående",2,3,0
10,1,48,0,1,1,"Kort/Mellemlang videregående",3,2,1
90,1,69,1,1,1,"Kort/Mellemlang videregående",2,3,0
60,1,66,0,0,1,"Erhvervsuddannelse",4,1,0
10,0,40,1,0,1,"Lang videregående",3,4,1
5,0,33,0,0,1,"Erhvervsuddannelse",3,2,0
30,1,31,0,1,1,"Kort/Mellemlang videregående",2,2,1
30,1,58,1,0,1,"Erhvervsuddannelse",3,2,1
30,1,68,0,0,1,"Erhvervsuddannelse",3,1,0
60,0,38,1,1,1,"Kort/Mellemlang videregående",3,3,1
45,1,59,1,1,1,"Kort/Mellemlang videregående",3,2,1
60,1,69,1,1,1,"Kort/Mellemlang videregående",2,1,1
10,1,21,0,1,1,"Erhvervsuddannelse",2,4,0
30,0,48,1,1,1,"Lang videregående",2,2,1
60,1,68,0,1,1,"Grundskole",2,2,0
15,1,48,1,1,1,"Kort/Mellemlang videregående",3,2,1
120,1,68,1,1,1,"Lang videregående",2,3,0
30,0,49,0,0,1,"Kort/Mellemlang videregående",3,5,1
60,1,70,0,0,1,"Erhvervsuddannelse",2,NA,0
60,0,63,1,1,1,"Kort/Mellemlang videregående",3,1,0
10,1,44,1,0,1,"Lang videregående",3,1,1
90,0,54,0,1,1,"Lang videregående",1,3,1
30,0,43,1,0,1,"Erhvervsuddannelse",2,2,1
300,1,78,1,1,1,"Kort/Mellemlang videregående",1,4,0
20,0,31,1,0,1,"Lang videregående",2,1,1
120,0,70,1,1,1,"Lang videregående",1,4,1
30,1,43,0,0,1,"Lang videregående",2,4,1
180,0,80,0,0,1,"Grundskole",2,1,0
90,1,66,0,1,1,"Kort/Mellemlang videregående",2,3,0
60,0,68,1,1,1,"Erhvervsuddannelse",1,3,0
15,0,37,0,1,1,"Kort/Mellemlang videregående",4,2,1
60,1,53,1,0,1,"Kort/Mellemlang videregående",2,2,1
75,0,52,1,1,1,"Lang videregående",2,2,1
30,1,49,1,0,1,"Erhvervsuddannelse",2,2,1
45,0,41,1,0,1,"Lang videregående",1,3,1
150,1,72,1,1,1,"Kort/Mellemlang videregående",1,2,0
15,1,58,1,0,1,"Erhvervsuddannelse",2,2,1
30,1,69,1,0,1,"Erhvervsuddannelse",2,2,0
10,1,70,0,0,1,"Kort/Mellemlang videregående",2,4,0
90,1,56,0,1,1,"Lang videregående",2,3,1
15,0,51,1,0,1,"Kort/Mellemlang videregående",4,3,1
45,0,45,0,0,1,"Lang videregående",3,3,1
10,1,41,0,0,1,"Kort/Mellemlang videregående",3,2,1
60,0,41,0,0,1,"Kort/Mellemlang videregående",2,1,1
25,0,78,0,1,1,"Grundskole",3,2,0
60,0,34,1,0,1,"Lang videregående",4,2,1
30,1,74,0,0,1,"Grundskole",3,1,0
15,1,65,1,0,1,"Erhvervsuddannelse",3,2,1
600,1,38,0,1,1,"Lang videregående",1,5,1
30,1,47,1,1,1,"Erhvervsuddannelse",2,2,1
15,0,65,1,0,1,"Grundskole",3,1,0
30,1,41,0,1,1,"Erhvervsuddannelse",2,2,1
90,0,20,0,0,1,"Erhvervsuddannelse",3,2,1
60,0,59,1,0,1,"Erhvervsuddannelse",4,1,0
180,1,70,1,0,1,"Kort/Mellemlang videregående",1,2,0
180,1,29,0,0,1,"Erhvervsuddannelse",2,3,1
60,0,73,1,1,1,"Erhvervsuddannelse",2,1,0
120,0,88,0,0,1,"Kort/Mellemlang videregående",2,2,0
30,1,20,0,1,1,"Erhvervsuddannelse",2,3,0
60,0,75,0,0,1,"Kort/Mellemlang videregående",1,3,0
120,1,78,0,1,1,"Kort/Mellemlang videregående",1,4,0
60,1,54,0,0,1,"Erhvervsuddannelse",3,2,1
90,0,36,0,1,1,"Kort/Mellemlang videregående",2,1,1
30,0,62,0,0,1,"Gymnasium",3,1,1
95,1,53,0,1,1,"Kort/Mellemlang videregående",1,4,1
60,1,60,1,0,1,"Erhvervsuddannelse",2,3,1
15,1,35,0,1,1,"Kort/Mellemlang videregående",3,2,0
135,1,60,1,0,1,"Gymnasium",2,2,0
5,1,20,0,0,1,"Erhvervsuddannelse",3,4,0
180,1,59,0,0,1,"Erhvervsuddannelse",1,4,0
45,0,69,1,1,1,"Kort/Mellemlang videregående",3,1,0
10,1,30,0,1,1,"Erhvervsuddannelse",3,2,1
60,1,73,1,0,1,"Lang videregående",2,2,0
60,0,30,1,0,1,"Erhvervsuddannelse",3,2,1
15,1,37,0,0,1,"Erhvervsuddannelse",2,3,0
30,1,52,1,0,1,"Erhvervsuddannelse",3,3,1
15,1,42,1,0,1,"Kort/Mellemlang videregående",2,2,1
90,0,63,1,0,1,"Kort/Mellemlang videregående",2,1,0
10,0,82,0,0,1,"Grundskole",3,1,0
30,0,47,0,0,1,"Kort/Mellemlang videregående",2,3,1
30,1,24,0,1,1,"Erhvervsuddannelse",2,2,0
0,0,57,0,0,1,"Erhvervsuddannelse",4,1,1
60,1,51,1,1,1,"Erhvervsuddannelse",2,3,1
15,1,66,0,1,1,"Lang videregående",2,1,0
120,1,80,1,0,1,"Erhvervsuddannelse",2,2,0
60,0,36,0,1,1,"Lang videregående",2,2,1
60,1,15,0,0,1,"Grundskole",3,4,0
180,0,57,0,1,1,"Kort/Mellemlang videregående",3,2,1
60,1,55,1,1,1,"Erhvervsuddannelse",2,2,1
60,0,42,1,0,1,"Lang videregående",2,2,1
30,1,58,0,0,1,"Erhvervsuddannelse",4,2,1
30,0,78,1,0,1,"Kort/Mellemlang videregående",3,1,0
40,1,38,0,0,1,"Kort/Mellemlang videregående",2,3,1
45,0,63,1,0,1,"Kort/Mellemlang videregående",2,1,1
180,1,76,1,0,1,"Lang videregående",2,2,0
150,0,40,1,1,1,"Lang videregående",1,4,0
5,0,60,0,0,1,"Erhvervsuddannelse",4,1,0
60,1,88,1,0,1,"Lang videregående",2,3,0
120,1,70,0,0,1,"Kort/Mellemlang videregående",2,4,0
30,0,17,0,1,1,"Gymnasium",2,3,0
0,0,59,1,0,1,"Gymnasium",4,1,1
60,0,80,1,0,1,"Grundskole",2,1,0
15,1,75,1,1,1,"Lang videregående",2,3,0
60,1,17,0,0,1,"Gymnasium",3,4,0
20,0,46,0,1,1,"Lang videregående",2,4,1
150,1,75,0,1,1,"Lang videregående",1,3,0
120,1,71,1,1,1,"Lang videregående",2,4,0
30,1,44,1,0,1,"Kort/Mellemlang videregående",3,2,1
30,1,31,0,1,1,"Kort/Mellemlang videregående",2,4,1
60,1,44,0,1,1,"Lang videregående",2,4,1
30,0,24,0,1,1,"Erhvervsuddannelse",3,1,1
15,0,45,0,0,1,"Kort/Mellemlang videregående",3,1,1
30,0,19,0,1,1,"Erhvervsuddannelse",2,3,1
30,0,18,0,1,1,"Gymnasium",2,5,1
10,0,25,0,1,1,"Kort/Mellemlang videregående",3,2,1
60,0,46,1,0,1,"Erhvervsuddannelse",3,2,1
45,1,71,0,1,1,"Kort/Mellemlang videregående",4,3,0
180,1,69,1,1,1,"Lang videregående",1,3,0
30,0,48,0,1,1,"Kort/Mellemlang videregående",2,3,1
30,0,34,0,0,1,"Kort/Mellemlang videregående",2,1,0
270,0,76,1,0,1,"Grundskole",3,3,0
60,0,26,0,0,1,"Erhvervsuddannelse",2,2,0
60,1,45,0,1,1,"Lang videregående",1,5,1
120,1,42,0,0,1,"Erhvervsuddannelse",3,1,1
60,0,68,1,0,1,"Erhvervsuddannelse",3,2,0
15,0,48,1,0,1,"Kort/Mellemlang videregående",3,3,1
60,1,65,1,0,1,"Erhvervsuddannelse",3,2,1
90,0,52,1,0,1,"Kort/Mellemlang videregående",3,1,1
60,1,72,1,0,1,"Erhvervsuddannelse",2,4,1
90,1,27,0,1,1,"Kort/Mellemlang videregående",2,3,0
60,1,82,0,0,1,"Lang videregående",2,2,0
30,0,49,0,1,1,"Kort/Mellemlang videregående",2,2,1
60,1,17,0,1,0,"Gymnasium",1,2,0
180,1,76,1,0,1,"Erhvervsuddannelse",3,2,0
240,0,37,1,1,1,"Lang videregående",2,3,1
20,1,57,1,1,1,"Erhvervsuddannelse",2,2,1
120,0,69,1,0,1,"Kort/Mellemlang videregående",3,1,0
30,0,27,0,1,1,"Lang videregående",2,4,1
60,0,70,1,0,1,"Erhvervsuddannelse",3,1,0
120,1,67,1,1,1,"Gymnasium",2,1,0
60,0,46,1,0,1,"Lang videregående",3,2,1
30,0,65,1,0,1,"Kort/Mellemlang videregående",2,2,1
180,1,41,0,0,1,"Erhvervsuddannelse",3,3,1
60,0,58,0,0,1,"Kort/Mellemlang videregående",3,2,1
5,0,57,1,0,1,"Lang videregående",3,2,1
20,0,19,0,0,1,"Erhvervsuddannelse",2,2,1
60,1,74,0,1,1,"Lang videregående",2,NA,0
90,1,67,0,0,1,"Erhvervsuddannelse",3,1,0
120,1,84,0,0,1,"Erhvervsuddannelse",1,3,0
60,0,62,0,1,1,"Lang videregående",2,3,1
5,0,56,0,0,1,"Kort/Mellemlang videregående",4,1,1
30,1,76,0,0,1,"Kort/Mellemlang videregående",3,2,0
